location,size,total_sqft,bath,price,bhk,price_per_sqft
Chandapura,2 BHK,1200.0,2.0,32.0,2,2666.6666666666665
Kengeri,2 BHK,787.0,2.0,31.0,2,3939.0088945362136
Whitefield,4 Bedroom,2400.0,4.0,143.0,4,5958.333333333333
Marathahalli,2 BHK,1350.0,2.0,90.0,2,6666.666666666667
Kammasandra,4 Bedroom,1200.0,6.0,60.0,4,5000.0
other,2 BHK,1020.0,2.0,52.0,2,5098.0392156862745
Ambedkar Nagar,3 BHK,1920.0,4.0,121.0,3,6302.083333333333
other,14 BHK,1250.0,15.0,125.0,14,10000.0
Balagere,2 BHK,1210.0,2.0,72.0,2,5950.413223140496
Bellandur,2 BHK,982.0,2.0,55.0,2,5600.814663951121
Amruthahalli,2 BHK,4400.0,3.0,475.0,2,10795.454545454546
Somasundara Palya,3 BHK,1570.0,3.0,68.0,3,4331.210191082802
other,5 Bedroom,1200.0,4.0,115.0,5,9583.333333333334
Sarjapur  Road,4 Bedroom,3913.0,5.0,176.0,4,4497.827753641707
Begur,3 BHK,1419.0,2.0,59.0,3,4157.85764622974
Ardendale,3 BHK,1777.26,3.0,105.0,3,5907.970696465346
Choodasandra,2 BHK,725.0,2.0,36.0,2,4965.517241379311
Kundalahalli,2 BHK,1175.0,2.0,65.0,2,5531.914893617021
other,3 Bedroom,1313.0,4.0,150.0,3,11424.219345011425
other,4 BHK,3000.0,4.0,240.0,4,8000.0
other,2 BHK,1203.0,2.0,59.86,2,4975.893599334996
Electronic City,2 BHK,550.0,1.0,15.0,2,2727.2727272727275
Electronic City,2 BHK,1200.0,2.0,20.0,2,1666.6666666666667
Hennur Road,3 BHK,1891.0,3.0,109.0,3,5764.1459545214175
Old Madras Road,2 BHK,1300.0,2.0,100.0,2,7692.307692307692
Sarjapur  Road,2 BHK,1346.0,2.0,74.03,2,5500.0
other,4 Bedroom,882.0,3.0,72.0,4,8163.265306122449
Padmanabhanagar,3 BHK,1708.0,2.0,90.5,3,5298.594847775175
Electronic City Phase II,3 BHK,1310.0,2.0,37.84,3,2888.549618320611
Arekere,3 Bedroom,2400.0,3.0,180.0,3,7500.0
Benson Town,2 BHK,1300.0,2.0,120.0,2,9230.76923076923
Banjara Layout,2 Bedroom,1200.0,2.0,70.0,2,5833.333333333333
other,3 BHK,1405.0,3.0,169.0,3,12028.46975088968
Banjara Layout,4 Bedroom,3750.0,5.0,145.0,4,3866.6666666666665
Garudachar Palya,2 BHK,1150.0,2.0,52.5,2,4565.217391304348
Hosa Road,2 BHK,1364.0,2.0,64.79,2,4750.000000000001
Thigalarapalya,4 BHK,3362.0,5.0,249.0,4,7406.305770374777
Banashankari,2 BHK,1195.0,2.0,35.84,2,2999.1631799163183
Varthur,2 BHK,1091.0,2.0,34.9,2,3198.9000916590285
other,2 BHK,1235.0,2.0,140.0,2,11336.032388663967
9th Phase JP Nagar,2 BHK,1080.0,2.0,37.0,2,3425.925925925926
other,3 BHK,2500.0,3.0,400.0,3,16000.0
Sarjapur,2 BHK,1175.0,2.0,41.68,2,3547.2340425531916
Whitefield,2 BHK,1135.0,2.0,58.0,2,5110.132158590309
Varthur,1 Bedroom,1000.0,1.0,70.0,1,7000.0
other,3 BHK,1532.0,3.0,92.0,3,6005.221932114882
other,3 Bedroom,1650.0,4.0,160.0,3,9696.969696969696
Bellandur,3 BHK,1350.0,2.0,63.0,3,4666.666666666667
CV Raman Nagar,2 BHK,1230.0,3.0,47.0,2,3821.1382113821137
Vasanthapura,2 BHK,940.0,2.0,40.0,2,4255.31914893617
Varthur Road,2 BHK,1083.0,2.0,61.75,2,5701.754385964912
Hulimavu,2 BHK,1225.0,2.0,55.0,2,4489.7959183673465
Kammasandra,3 BHK,1276.0,2.0,31.9,3,2500.0
HSR Layout,2 BHK,1140.0,2.0,46.0,2,4035.0877192982457
Old Madras Road,2 BHK,2640.0,2.0,170.0,2,6439.393939393939
Murugeshpalya,6 Bedroom,1407.0,4.0,150.0,6,10660.98081023454
Sanjay nagar,3 BHK,1200.0,2.0,76.0,3,6333.333333333333
other,2 BHK,856.0,2.0,48.0,2,5607.476635514019
Rajaji Nagar,4 BHK,3526.0,4.0,558.0,4,15825.2977878616
Mahadevpura,2 BHK,1136.0,2.0,64.5,2,5677.816901408451
Kothanur,2 BHK,1400.0,2.0,65.0,2,4642.857142857143
other,3 BHK,1540.0,3.0,68.0,3,4415.584415584415
Yelachenahalli,2 BHK,1110.0,2.0,110.0,2,9909.90990990991
2nd Phase Judicial Layout,2 BHK,700.0,2.0,35.0,2,5000.0
Electronic City,2 BHK,865.0,2.0,42.0,2,4855.491329479769
KR Puram,3 BHK,1455.0,3.0,46.0,3,3161.512027491409
Kodigehalli,2 BHK,1270.0,2.0,98.0,2,7716.535433070866
Whitefield,3 BHK,2010.0,3.0,92.0,3,4577.114427860696
Marathahalli,2 BHK,1102.0,2.0,53.67,2,4870.235934664247
Kengeri,2 BHK,725.0,2.0,30.0,2,4137.931034482759
Nagasandra,4 Bedroom,7000.0,8.0,450.0,4,6428.571428571428
Whitefield,3 Bedroom,1500.0,3.0,71.0,3,4733.333333333333
other,3 BHK,2274.24,4.0,160.0,3,7035.317292809907
other,3 Bedroom,1800.0,2.0,72.0,3,4000.0
other,2 Bedroom,1290.0,1.0,225.0,2,17441.86046511628
other,2 BHK,1175.0,2.0,52.86,2,4498.723404255319
other,2 BHK,1125.0,2.0,55.0,2,4888.888888888889
Electronic City,4 Bedroom,1200.0,4.0,125.0,4,10416.666666666666
Gottigere,3 BHK,1621.0,3.0,72.0,3,4441.702652683529
other,2 BHK,1165.0,2.0,45.0,2,3862.660944206009
Hulimavu,4 Bedroom,1200.0,4.0,75.0,4,6250.0
Anjanapura,2 BHK,950.0,2.0,40.0,2,4210.526315789473
Electronic City,1 BHK,710.0,1.0,40.42,1,5692.957746478874
Sarjapura - Attibele Road,1 BHK,740.0,1.0,23.65,1,3195.945945945946
Nagavarapalya,2 BHK,1134.0,2.0,55.0,2,4850.088183421517
Thanisandra,3 BHK,1690.0,3.0,125.0,3,7396.449704142012
Vasanthapura,2 BHK,1135.0,2.0,39.73,2,3500.440528634361
Kannamangala,4 Bedroom,3000.0,4.0,200.0,4,6666.666666666667
Kothanur,3 BHK,1365.0,3.0,66.0,3,4835.1648351648355
other,1 BHK,840.0,1.0,75.0,1,8928.57142857143
Vittasandra,2 BHK,1238.0,2.0,67.0,2,5411.954765751211
Old Madras Road,2 BHK,935.0,2.0,45.0,2,4812.834224598931
Banashankari,2 BHK,1175.0,2.0,41.13,2,3500.4255319148942
Sarjapur  Road,2 BHK,1290.0,2.0,88.0,2,6821.705426356589
Jigani,2 BHK,918.0,2.0,48.0,2,5228.75816993464
Mahadevpura,2 BHK,1192.0,2.0,75.0,2,6291.946308724832
Ardendale,4 BHK,3198.0,4.0,250.0,4,7817.385866166354
Bellandur,2 BHK,1457.0,2.0,85.0,2,5833.905284831846
other,2 BHK,985.0,2.0,57.0,2,5786.802030456853
other,2 BHK,1150.0,2.0,126.0,2,10956.521739130434
Brookefield,2 BHK,1262.0,2.0,75.0,2,5942.947702060222
Marathahalli,1 BHK,607.0,1.0,35.0,1,5766.062602965404
7th Phase JP Nagar,2 BHK,990.0,2.0,50.0,2,5050.50505050505
other,4 BHK,3420.0,3.0,410.0,4,11988.30409356725
Kengeri,1 BHK,340.0,1.0,10.0,1,2941.176470588235
KR Puram,2 BHK,750.0,2.0,25.0,2,3333.3333333333335
Marathahalli,2 Bedroom,1200.0,2.0,128.0,2,10666.666666666666
Akshaya Nagar,3 BHK,1412.0,2.0,88.0,3,6232.294617563739
Anandapura,3 Bedroom,850.0,3.0,63.0,3,7411.764705882353
GM Palaya,2 BHK,1000.0,2.0,36.0,2,3600.0
Raja Rajeshwari Nagar,3 BHK,1335.0,2.0,56.0,3,4194.756554307116
Electronic City Phase II,2 BHK,1140.0,2.0,34.0,2,2982.4561403508774
Hebbal,4 BHK,4450.0,6.0,449.0,4,10089.88764044944
Abbigere,8 Bedroom,3000.0,8.0,150.0,8,5000.0
Hennur Road,3 BHK,1891.0,3.0,110.0,3,5817.028027498678
Magadi Road,2 BHK,884.0,2.0,48.0,2,5429.864253393665
other,1 BHK,750.0,1.0,25.0,1,3333.3333333333335
Whitefield,2 BHK,1235.0,2.0,47.0,2,3805.668016194332
Hebbal,2 BHK,1420.0,2.0,99.39,2,6999.295774647887
BEML Layout,2 Bedroom,2400.0,2.0,228.0,2,9500.0
Malleshwaram,3 BHK,2200.0,3.0,275.0,3,12500.0
KR Puram,1 BHK,714.0,1.0,28.0,1,3921.56862745098
Kanakapura,2 BHK,929.0,2.0,46.0,2,4951.560818083961
Uttarahalli,2 BHK,1163.0,2.0,68.0,2,5846.947549441101
Gubbalala,4 Bedroom,2000.0,4.0,85.0,4,4250.0
Kothanur,3 BHK,1436.0,3.0,70.0,3,4874.651810584958
BTM 2nd Stage,2 BHK,1280.0,2.0,80.0,2,6250.0
Vittasandra,2 BHK,1246.0,2.0,68.0,2,5457.463884430176
Bannerghatta Road,3 BHK,1450.0,2.0,87.0,3,6000.0
Chandapura,1 BHK,530.0,1.0,11.66,1,2200.0
Devanahalli,4 Bedroom,6136.0,4.0,550.0,4,8963.49413298566
Kanakpura Road,3 Bedroom,2000.0,2.0,180.0,3,9000.0
Kathriguppe,3 BHK,1350.0,3.0,80.99,3,5999.259259259258
Begur Road,2 BHK,1200.0,2.0,45.0,2,3750.0
Parappana Agrahara,2 BHK,1194.0,2.0,46.0,2,3852.596314907873
Gubbalala,2 BHK,1205.0,2.0,70.0,2,5809.128630705394
Iblur Village,3 BHK,1920.0,3.0,150.0,3,7812.5
TC Palaya,2 BHK,1126.0,2.0,39.4,2,3499.1119005328596
other,3 BHK,1477.0,2.0,80.0,3,5416.384563303995
Budigere,2 BHK,1139.0,2.0,56.5,2,4960.491659350308
other,2 BHK,1256.0,2.0,65.0,2,5175.15923566879
other,3 Bedroom,2610.0,3.0,499.0,3,19118.773946360154
Hegde Nagar,2 Bedroom,1200.0,2.0,75.0,2,6250.0
Channasandra,2 BHK,1175.0,2.0,38.0,2,3234.0425531914893
Rachenahalli,2 BHK,1050.0,2.0,52.07,2,4959.047619047619
Bellandur,3 BHK,1665.0,3.0,85.0,3,5105.105105105105
Electronic City,2 BHK,1070.0,2.0,55.0,2,5140.186915887851
Koramangala,3 BHK,2223.0,3.0,300.0,3,13495.27665317139
Ramagondanahalli,3 BHK,1635.0,3.0,62.0,3,3792.0489296636088
Kudlu,2 BHK,1027.0,2.0,43.0,2,4186.952288218111
Rajiv Nagar,4 BHK,2340.0,5.0,129.0,4,5512.820512820513
Yelahanka,2 BHK,1322.0,2.0,75.0,2,5673.2223903177
Tindlu,2 BHK,1100.0,2.0,55.0,2,5000.0
Thanisandra,3 BHK,1698.0,3.0,102.0,3,6007.067137809187
Kothanur,3 Bedroom,2400.0,2.0,150.0,3,6250.0
Yelenahalli,3 BHK,1500.0,2.0,57.0,3,3800.0
other,4 Bedroom,1150.0,4.0,110.0,4,9565.217391304348
Kodihalli,3 BHK,2500.0,4.0,260.0,3,10400.0
Ambedkar Nagar,4 Bedroom,3565.0,4.0,255.0,4,7152.875175315568
Bisuvanahalli,3 BHK,1075.0,2.0,37.0,3,3441.860465116279
other,3 BHK,1850.0,3.0,95.0,3,5135.135135135135
Kodichikkanahalli,5 Bedroom,2700.0,4.0,125.0,5,4629.62962962963
Indira Nagar,3 BHK,2700.0,3.0,324.0,3,12000.0
Rachenahalli,2 BHK,1220.0,2.0,59.5,2,4877.049180327869
Yelachenahalli,3 BHK,1464.0,2.0,105.0,3,7172.131147540984
Chamrajpet,2 BHK,650.0,1.0,40.0,2,6153.846153846154
Yelachenahalli,2 BHK,2400.0,1.0,150.0,2,6250.0
Malleshwaram,3 BHK,2215.0,4.0,310.0,3,13995.48532731377
other,2 BHK,1180.0,2.0,48.0,2,4067.796610169491
other,3 Bedroom,600.0,2.0,85.0,3,14166.666666666666
Uttarahalli,3 BHK,1590.0,3.0,57.0,3,3584.9056603773583
other,3 BHK,1400.0,2.0,40.43,3,2887.8571428571427
Bannerghatta,4 BHK,3012.0,6.0,268.0,4,8897.742363877822
Kasavanhalli,3 Bedroom,2110.0,4.0,120.0,3,5687.203791469195
Whitefield,3 BHK,1720.0,3.0,100.0,3,5813.953488372093
Sarakki Nagar,3 BHK,1840.0,4.0,175.0,3,9510.869565217392
other,5 Bedroom,2500.0,6.0,500.0,5,20000.0
5th Phase JP Nagar,2 BHK,1256.0,2.0,62.8,2,5000.0
Yeshwanthpur,1 BHK,673.0,1.0,36.85,1,5475.482912332838
Hennur Road,3 BHK,1482.0,2.0,92.0,3,6207.827260458839
Hosur Road,4 BHK,2835.0,4.0,241.0,4,8500.881834215168
7th Phase JP Nagar,2 BHK,1270.0,2.0,80.0,2,6299.212598425197
Karuna Nagar,3 BHK,1200.0,2.0,34.0,3,2833.3333333333335
other,2 BHK,840.0,2.0,27.0,2,3214.285714285714
8th Phase JP Nagar,4 BHK,1200.0,4.0,140.0,4,11666.666666666666
other,3 BHK,1340.0,2.0,47.0,3,3507.4626865671644
Kaikondrahalli,3 BHK,1220.0,3.0,56.0,3,4590.163934426229
Sarjapur,3 BHK,1445.0,3.0,50.0,3,3460.2076124567475
other,2 BHK,1400.0,2.0,60.0,2,4285.714285714285
LB Shastri Nagar,3 BHK,1400.0,2.0,80.0,3,5714.285714285715
Bellandur,3 BHK,1138.0,3.0,128.0,3,11247.80316344464
Banashankari Stage V,3 BHK,1510.0,3.0,47.57,3,3150.3311258278145
Kanakpura Road,2 BHK,1339.0,2.0,58.0,2,4331.59073935773
Yelahanka,2 BHK,1300.0,2.0,69.23,2,5325.384615384615
Akshaya Nagar,3 BHK,1250.0,3.0,40.0,3,3200.0
Malleshpalya,2 BHK,1065.0,2.0,50.0,2,4694.835680751174
Whitefield,2 BHK,1059.0,2.0,57.0,2,5382.43626062323
Attibele,1 BHK,410.0,1.0,10.0,1,2439.0243902439024
Poorna Pragna Layout,3 BHK,1270.0,2.0,50.79,3,3999.212598425197
Haralur Road,2 BHK,1092.0,2.0,44.0,2,4029.3040293040294
Begur Road,3 BHK,1400.0,2.0,50.06,3,3575.714285714286
Nagavara,1 Bedroom,400.0,1.0,14.0,1,3500.0
Begur Road,3 BHK,1583.0,3.0,95.23,3,6015.792798483892
Jakkur,3 BHK,1819.18,3.0,160.0,3,8795.17145087347
other,2 BHK,1150.0,2.0,42.0,2,3652.1739130434785
other,2 BHK,1150.0,2.0,75.0,2,6521.739130434783
Begur Road,2 BHK,1160.0,2.0,42.0,2,3620.689655172414
Ananth Nagar,2 BHK,1200.0,2.0,36.0,2,3000.0
Uttarahalli,6 BHK,3600.0,6.0,120.0,6,3333.3333333333335
other,2 BHK,1205.0,2.0,42.18,2,3500.414937759336
Thanisandra,2 BHK,1140.0,2.0,39.0,2,3421.0526315789475
Kaikondrahalli,2 BHK,1039.0,2.0,80.0,2,7699.711260827719
other,3 Bedroom,3664.0,3.0,325.0,3,8870.087336244542
Sonnenahalli,3 BHK,1550.0,3.0,50.0,3,3225.8064516129034
Magadi Road,5 Bedroom,5000.0,6.0,360.0,5,7200.0
Bisuvanahalli,2 BHK,845.0,2.0,29.0,2,3431.9526627218934
other,3 BHK,1515.0,3.0,88.0,3,5808.580858085808
Gubbalala,3 Bedroom,600.0,3.0,75.0,3,12500.0
Sahakara Nagar,5 Bedroom,1200.0,5.0,160.0,5,13333.333333333334
Yelahanka,3 BHK,1890.0,3.0,109.0,3,5767.195767195767
Thanisandra,2 BHK,1056.0,2.0,75.0,2,7102.272727272727
Balagere,2 BHK,1007.0,2.0,65.0,2,6454.816285998014
Old Airport Road,2 BHK,1206.0,2.0,75.0,2,6218.905472636816
Mico Layout,2 BHK,1125.0,2.0,40.0,2,3555.5555555555557
R.T. Nagar,4 BHK,1800.0,3.0,120.0,4,6666.666666666667
Hennur,2 BHK,1295.0,2.0,64.0,2,4942.084942084942
other,2 Bedroom,900.0,2.0,55.0,2,6111.111111111111
Rajaji Nagar,2 Bedroom,1200.0,2.0,150.0,2,12500.0
Electronic City,2 BHK,910.0,2.0,42.0,2,4615.384615384615
Yelahanka,6 Bedroom,3770.0,6.0,110.0,6,2917.7718832891246
Kundalahalli,3 BHK,1496.0,2.0,78.0,3,5213.903743315508
Koramangala,3 BHK,1615.0,3.0,115.0,3,7120.743034055728
Sarjapur,1 BHK,625.0,1.0,19.0,1,3040.0
Devanahalli,3 BHK,1466.0,3.0,59.96,3,4090.0409276944065
Talaghattapura,3 BHK,1575.0,3.0,80.0,3,5079.3650793650795
other,3 Bedroom,600.0,2.0,60.0,3,10000.0
other,3 BHK,2045.0,3.0,108.0,3,5281.173594132029
Lingadheeranahalli,3 BHK,1684.0,3.0,120.0,3,7125.890736342043
Kothannur,2 BHK,1100.0,2.0,40.0,2,3636.363636363637
other,2 BHK,1489.0,2.0,101.0,2,6783.075889858966
Raja Rajeshwari Nagar,2 BHK,1400.0,2.0,45.0,2,3214.285714285714
Uttarahalli,2 BHK,1000.0,2.0,39.5,2,3950.0
Sarjapur  Road,4 Bedroom,1750.0,3.0,215.0,4,12285.714285714286
Electronic City Phase II,3 BHK,1310.0,2.0,32.75,3,2500.0
Hennur Road,2 BHK,1140.0,2.0,56.0,2,4912.2807017543855
Indira Nagar,3 BHK,1407.0,3.0,120.0,3,8528.784648187633
Hennur,2 BHK,1255.0,2.0,55.5,2,4422.310756972111
other,1 BHK,500.0,1.0,13.0,1,2600.0
Whitefield,2 BHK,925.0,2.0,35.0,2,3783.783783783784
AECS Layout,2 BHK,1135.0,2.0,68.0,2,5991.1894273127755
other,2 BHK,823.0,2.0,80.0,2,9720.534629404618
other,2 BHK,1081.0,2.0,39.0,2,3607.7705827937098
other,2 BHK,1020.0,2.0,37.0,2,3627.450980392157
Panathur,3 BHK,1315.0,2.0,54.8,3,4167.300380228137
other,5 BHK,900.0,5.0,135.0,5,15000.0
other,7 Bedroom,1875.0,5.0,192.0,7,10240.0
Kengeri,3 BHK,1741.0,3.0,80.0,3,4595.060310166571
Kanakapura,3 Bedroom,2200.0,3.0,121.0,3,5500.0
Yelachenahalli,2 BHK,800.0,1.0,30.0,2,3750.0
Anandapura,2 Bedroom,1200.0,2.0,58.0,2,4833.333333333333
other,2 BHK,850.0,2.0,27.0,2,3176.470588235294
Jalahalli East,1 BHK,750.0,1.0,40.0,1,5333.333333333333
other,3 BHK,1490.0,3.0,140.0,3,9395.973154362417
Chikkalasandra,3 BHK,1290.0,2.0,56.12,3,4350.387596899225
Kanakpura Road,3 BHK,1550.0,3.0,64.7,3,4174.193548387097
Sarjapur  Road,3 BHK,1510.0,2.0,110.0,3,7284.76821192053
Kumaraswami Layout,7 BHK,2040.0,4.0,123.0,7,6029.411764705882
Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284.323271665044
HSR Layout,2 BHK,1145.0,2.0,46.0,2,4017.467248908297
other,1 Bedroom,800.0,1.0,52.0,1,6500.0
Sarjapur  Road,3 BHK,1660.0,2.0,116.0,3,6987.951807228916
Chandapura,3 BHK,1185.0,2.0,30.22,3,2550.2109704641352
other,3 BHK,1650.0,2.0,52.0,3,3151.5151515151515
other,3 BHK,1684.0,3.0,86.0,3,5106.88836104513
Sarjapur  Road,2 BHK,1019.0,2.0,62.0,2,6084.396467124632
ISRO Layout,2 BHK,1000.0,2.0,60.0,2,6000.0
Rajaji Nagar,4 BHK,3730.0,4.0,370.0,4,9919.571045576407
Whitefield,2 BHK,955.0,2.0,38.19,2,3998.952879581152
Anandapura,2 BHK,1250.0,2.0,45.0,2,3600.0
Kanakpura Road,3 BHK,1507.0,2.0,95.0,3,6303.9150630391505
Hormavu,3 BHK,1365.0,2.0,65.0,3,4761.9047619047615
Varthur,2 BHK,1112.0,2.0,40.0,2,3597.122302158273
other,2 Bedroom,1500.0,2.0,145.0,2,9666.666666666666
TC Palaya,4 Bedroom,2100.0,2.0,50.0,4,2380.9523809523807
other,3 Bedroom,1200.0,3.0,56.53,3,4710.833333333333
other,2 BHK,1050.0,2.0,50.0,2,4761.9047619047615
Binny Pete,4 BHK,2940.0,6.0,280.0,4,9523.809523809525
Ananth Nagar,2 BHK,930.0,2.0,25.99,2,2794.6236559139784
Kasavanhalli,3 BHK,1600.0,3.0,79.0,3,4937.5
other,3 Bedroom,600.0,3.0,54.0,3,9000.0
Gubbalala,2 BHK,1285.0,2.0,90.0,2,7003.8910505836575
Hosa Road,3 BHK,1665.0,2.0,125.0,3,7507.507507507507
7th Phase JP Nagar,2 BHK,1275.0,2.0,87.0,2,6823.529411764706
other,3 Bedroom,1865.0,3.0,350.0,3,18766.756032171583
CV Raman Nagar,2 BHK,1392.0,2.0,110.0,2,7902.298850574713
Magadi Road,1 Bedroom,440.0,1.0,35.0,1,7954.545454545455
Sarjapur  Road,3 Bedroom,1500.0,3.0,88.0,3,5866.666666666667
other,4 Bedroom,1200.0,4.0,130.0,4,10833.333333333334
Choodasandra,3 BHK,1220.0,3.0,56.0,3,4590.163934426229
Talaghattapura,2 BHK,1090.0,2.0,27.24,2,2499.0825688073396
Yelahanka New Town,3 BHK,1426.0,2.0,61.5,3,4312.762973352033
other,2 BHK,1200.0,2.0,38.0,2,3166.6666666666665
other,2 BHK,675.0,1.0,15.0,2,2222.222222222222
Nagasandra,4 Bedroom,1310.0,3.0,95.0,4,7251.908396946565
Hennur Road,2 BHK,1414.0,2.0,84.18,2,5953.323903818953
other,3 BHK,909.0,2.0,40.0,3,4400.4400440044
other,2 BHK,930.0,2.0,45.0,2,4838.709677419355
Brookefield,3 BHK,1410.0,2.0,80.0,3,5673.758865248227
Tumkur Road,3 BHK,1343.5,3.0,57.76,3,4299.218459248233
Vidyaranyapura,2 BHK,1200.0,2.0,55.0,2,4583.333333333333
5th Block Hbr Layout,6 BHK,5100.0,5.0,300.0,6,5882.35294117647
other,1 BHK,560.0,1.0,19.0,1,3392.8571428571427
other,2 BHK,824.0,2.0,60.0,2,7281.553398058252
Talaghattapura,3 BHK,2038.5,3.0,122.0,3,5984.792739759627
Garudachar Palya,2 BHK,1150.0,2.0,52.75,2,4586.95652173913
Prithvi Layout,3 Bedroom,2273.0,4.0,192.0,3,8446.986361636604
Jigani,2 BHK,923.0,2.0,50.0,2,5417.118093174431
other,2 BHK,1250.0,2.0,43.0,2,3440.0
Gottigere,3 BHK,1600.0,2.0,55.0,3,3437.5
Raja Rajeshwari Nagar,3 BHK,1375.0,2.0,54.99,3,3999.272727272727
Ardendale,3 BHK,1732.46,3.0,92.0,3,5310.367916142364
other,3 BHK,912.0,2.0,70.0,3,7675.438596491228
Old Madras Road,5 BHK,4500.0,7.0,337.0,5,7488.888888888889
Indira Nagar,2 BHK,1224.0,2.0,105.0,2,8578.43137254902
Sarjapur  Road,2 BHK,1043.0,2.0,39.5,2,3787.152444870566
TC Palaya,2 Bedroom,900.0,2.0,55.0,2,6111.111111111111
Sarjapur  Road,2 BHK,1115.0,2.0,60.0,2,5381.165919282511
Bannerghatta Road,2 BHK,1136.0,2.0,48.0,2,4225.352112676056
Laggere,5 Bedroom,2800.0,5.0,125.0,5,4464.285714285715
Nagarbhavi,2 BHK,1145.0,2.0,40.0,2,3493.4497816593885
other,2 BHK,1067.0,2.0,33.99,2,3185.5670103092784
Vijayanagar,3 BHK,1760.0,3.0,140.0,3,7954.545454545455
other,5 Bedroom,2400.0,5.0,120.0,5,5000.0
Electronic City,2 BHK,921.0,2.0,34.0,2,3691.639522258414
Uttarahalli,3 BHK,1560.0,3.0,74.0,3,4743.589743589743
Brookefield,3 BHK,1746.0,3.0,115.0,3,6586.483390607102
Kadugodi,9 Bedroom,6200.0,9.0,200.0,9,3225.8064516129034
Brookefield,2 BHK,1225.0,2.0,66.5,2,5428.571428571428
Nagavarapalya,2 BHK,1260.0,2.0,85.5,2,6785.714285714285
Karuna Nagar,3 Bedroom,1300.0,3.0,170.0,3,13076.923076923076
Rajiv Nagar,3 BHK,1867.0,3.0,160.0,3,8569.89823245849
Hennur,2 BHK,1255.0,2.0,52.32,2,4168.924302788844
Kothannur,3 Bedroom,600.0,4.0,95.0,3,15833.333333333334
Whitefield,2 BHK,1150.0,2.0,40.21,2,3496.521739130435
other,2 BHK,1140.0,2.0,60.0,2,5263.1578947368425
Binny Pete,1 BHK,665.0,1.0,50.75,1,7631.578947368421
Devanahalli,3 BHK,1282.0,2.0,68.52,3,5344.773790951638
other,4 Bedroom,3811.0,3.0,475.0,4,12463.920230910522
Electronic City,2 BHK,1060.0,2.0,51.0,2,4811.320754716981
Whitefield,2 BHK,1242.0,2.0,65.0,2,5233.494363929147
Sarakki Nagar,3 BHK,2121.0,4.0,253.0,3,11928.335690711929
other,3 BHK,1300.0,3.0,42.25,3,3250.0
Hebbal,3 BHK,1355.0,3.0,83.87,3,6189.667896678967
other,1 BHK,15.0,1.0,30.0,1,200000.0
Hegde Nagar,3 BHK,1584.01,3.0,103.0,3,6502.484201488627
Hoskote,1 BHK,509.0,1.0,23.0,1,4518.664047151277
other,3 Bedroom,857.0,3.0,95.0,3,11085.180863477246
Doddaballapur,4 Bedroom,2400.0,3.0,200.0,4,8333.333333333334
Hennur Road,2 BHK,1385.0,2.0,83.09,2,5999.27797833935
Rajiv Nagar,4 BHK,2340.0,4.0,148.0,4,6324.786324786325
7th Phase JP Nagar,2 BHK,850.0,2.0,42.0,2,4941.176470588235
Bannerghatta Road,2 BHK,1105.0,2.0,51.0,2,4615.384615384615
Old Airport Road,4 BHK,2690.0,4.0,201.0,4,7472.118959107806
Kothanur,2 BHK,1141.0,2.0,54.0,2,4732.690622261174
Yelahanka,2 BHK,1175.0,2.0,67.77,2,5767.659574468085
other,2 BHK,1110.0,2.0,55.0,2,4954.954954954955
Kadugodi,3 BHK,1890.0,4.0,125.0,3,6613.756613756614
other,3 Bedroom,1200.0,3.0,160.0,3,13333.333333333334
Sarjapur  Road,2 BHK,1026.0,2.0,60.8,2,5925.925925925926
other,2 BHK,1310.0,2.0,88.0,2,6717.557251908397
Haralur Road,2 BHK,1194.0,2.0,46.0,2,3852.596314907873
Sultan Palaya,2 BHK,1100.0,2.0,40.0,2,3636.363636363637
other,2 BHK,1012.0,2.0,59.0,2,5830.0395256917
Kaikondrahalli,3 BHK,1342.0,3.0,92.0,3,6855.439642324888
Whitefield,2 BHK,750.0,2.0,52.7,2,7026.666666666667
Whitefield,4 Bedroom,3445.0,5.0,270.0,4,7837.44557329463
Amruthahalli,3 BHK,1700.0,3.0,77.0,3,4529.411764705882
Hulimavu,2 Bedroom,1500.0,2.0,90.0,2,6000.0
other,7 Bedroom,2400.0,7.0,355.0,7,14791.666666666666
other,2 BHK,925.0,2.0,70.0,2,7567.567567567568
Hennur Road,2 BHK,973.0,2.0,50.74,2,5214.799588900309
Bellandur,4 Bedroom,3600.0,4.0,260.0,4,7222.222222222223
Electronic City,2 BHK,1128.0,2.0,65.0,2,5762.41134751773
Hormavu,2 BHK,1350.0,2.0,45.0,2,3333.3333333333335
Sarjapur  Road,2 BHK,1145.0,2.0,75.0,2,6550.218340611354
Thanisandra,2 BHK,1183.0,2.0,77.25,2,6530.0084530853765
R.T. Nagar,2 BHK,1150.0,2.0,72.0,2,6260.869565217391
Hebbal,2 BHK,1299.0,2.0,97.0,2,7467.282525019245
Battarahalli,1 BHK,600.0,1.0,47.0,1,7833.333333333333
Haralur Road,2 BHK,1200.0,2.0,46.0,2,3833.3333333333335
other,3 BHK,1250.0,2.0,65.0,3,5200.0
other,5 BHK,7500.0,5.0,1500.0,5,20000.0
Hosa Road,2 BHK,1133.0,2.0,52.0,2,4589.585172109444
Sarjapur  Road,3 BHK,2140.0,3.0,139.0,3,6495.327102803738
